"","pathway","tg_c","z","vpdo","cao","oao","paro","q0_response","q0_intercept","q0","beta","theta","lma","given_lma","f","patm","par","vpd","ca","oa","km","gammastar","chi","given_chi","ci","mc","m","omega","omega_star","Al","kp","kr","ko","Ap","leakage","cbs","chi_bs","obs","Ac","jmax","vpmax","vcmax","jmax25","vpmax25","vcmax25","nrubisco","nbioe","npep","nstructure","nall","nphoto","nrubisco_frac","nphoto_frac","elevation"
"23","C3",25,5000,1,301,209460,800,"yes",-0.0805,0.257,146,0.85,1267.72929385114,"no",0.5,55243.0892759575,908,1.98589034540063,16.6281698720632,11571.2174797421,39.2008678450921,2.36183629650578,0.639806206221376,"no",10.6388062822494,0.166071912199822,0.538778282655442,0.946690067864104,1.19113994405841,22.0233271140264,NA,NA,NA,0,NA,NA,NA,NA,22.0233271140264,220.915807476496,0,132.613196429794,220.915807476496,0,132.613196429794,0.415742370807403,0.175599744404394,0,2.52345904454139,3.11480115975319,0.591342115211797,0.133473165535981,0.189849073787636,"z = 5000 m"
"24","C3",25,5000,1,301.3,209460,800,"yes",-0.0805,0.257,146,0.85,1267.25079390941,"no",0.5,55243.0892759575,908,1.98589034540063,16.644742798846,11571.2174797421,39.2008678450921,2.36183629650578,0.639746832295406,"no",10.6484214799335,0.166232764712007,0.539066775424706,0.94699495069499,1.19134522650473,22.0389172237,NA,NA,NA,0,NA,NA,NA,NA,22.0389172237,220.98695371438,0,132.578660180993,220.98695371438,0,132.578660180993,0.415634099667412,0.175656296542199,0,2.52251609677029,3.1138064929799,0.591290396209611,0.133481030566434,0.189893109139145,"z = 5000 m"
"25","C3",25,5000,1,301.4,209460,800,"yes",-0.0805,0.257,146,0.85,1267.09140965598,"no",0.5,55243.0892759575,908,1.98589034540063,16.6502671077736,11571.2174797421,39.2008678450921,2.36183629650578,0.639727067252587,"no",10.6516265458282,0.16628636842758,0.539162859497249,0.947096447890584,1.19141354179826,22.0441094760374,NA,NA,NA,0,NA,NA,NA,NA,22.0441094760374,221.010638693955,0,132.567147172006,221.010638693955,0,132.567147172006,0.415598006384239,0.175675123064426,0,2.5222020081119,3.11347513756056,0.591273129448665,0.133483643845592,0.189907772930518,"z = 5000 m"
"26","C3",25,5000,1,301.6,209460,800,"yes",-0.0805,0.257,146,0.85,1266.772814551,"no",0.5,55243.0892759575,908,1.98589034540063,16.6613157256288,11571.2174797421,39.2008678450921,2.36183629650578,0.639687576487326,"no",10.6580366776177,0.166393555183972,0.539354907516888,0.947299247067188,1.19155000452705,22.0544873133673,NA,NA,NA,0,NA,NA,NA,NA,22.0544873133673,221.057963098611,0,132.544119806701,221.057963098611,0,132.544119806701,0.415525815594008,0.175712739898896,0,2.52157417132319,3.11281272681609,0.591238555492903,0.133488857846911,0.189937078578333,"z = 5000 m"
"27","C3",25,5000,1,302,209460,800,"yes",-0.0805,0.257,146,0.85,1266.13631706877,"no",0.5,55243.0892759575,908,1.98589034540063,16.6834129613392,11571.2174797421,39.2008678450921,2.36183629650578,0.639608751873752,"no",10.6708569411965,0.166607846034938,0.539738523754645,0.947704066456517,1.19182226052447,22.0752163604769,NA,NA,NA,0,NA,NA,NA,NA,22.0752163604769,221.152430132027,0,132.498059880372,221.152430132027,0,132.498059880372,0.415381417724965,0.175787829079303,0,2.52031985813502,3.11148910493929,0.591169246804268,0.133499235804995,0.189995602384024,"z = 5000 m"
"28","C3",25,5000,1,302.4,209460,800,"yes",-0.0805,0.257,146,0.85,1265.50074155116,"no",0.5,55243.0892759575,908,1.98589034540063,16.7055101970496,11571.2174797421,39.2008678450921,2.36183629650578,0.639530135790902,"no",10.6836772047754,0.16682202674096,0.540121501587829,0.948107850821105,1.19209362764864,22.095909983648,NA,NA,NA,0,NA,NA,NA,NA,22.095909983648,221.24665563621,0,132.451993392685,221.24665563621,0,132.451993392685,0.415236999286067,0.175862726274936,0,2.51906735552375,3.11016708108475,0.591099725561003,0.133509547384587,0.190054010009919,"z = 5000 m"
"29","C3",25,5000,1,302.8,209460,800,"yes",-0.0805,0.257,146,0.85,1264.86608599642,"no",0.5,55243.0892759575,908,1.98589034540063,16.7276074327599,11571.2174797421,39.2008678450921,2.36183629650578,0.639451727412366,"no",10.6964974683543,0.167036097386939,0.540503842608741,0.948510604451118,1.19236411036108,22.1165682779076,NA,NA,NA,0,NA,NA,NA,NA,22.1165682779076,221.340640612295,0,132.405920779354,221.340640612295,0,132.405920779354,0.415092561643276,0.175937432281568,0,2.51781665956876,3.1088466534936,0.591029993924844,0.133519793000022,0.190112302020644,"z = 5000 m"
"30","C3",25,5000,1,303,209460,800,"yes",-0.0805,0.257,146,0.85,1264.54910258118,"no",0.5,55243.0892759575,908,1.98589034540063,16.7386560506151,11571.2174797421,39.2008678450921,2.36183629650578,0.639412600855155,"no",10.7029076001437,0.167143091463919,0.540694774810741,0.948711596074396,1.1924990214488,22.1268842062898,NA,NA,NA,0,NA,NA,NA,NA,22.1268842062898,221.387543213537,0,132.382882310552,221.387543213537,0,132.382882310552,0.41502033604358,0.175974713836401,0,2.51719198786527,3.10818703774525,0.590995049879981,0.133524891199805,0.190141404845669,"z = 5000 m"
"31","C3",25,5000,1,303.4,209460,800,"yes",-0.0805,0.257,146,0.85,1263.91582323015,"no",0.5,55243.0892759575,908,1.98589034540063,16.7607532863255,11571.2174797421,39.2008678450921,2.36183629650578,0.639334502493104,"no",10.7157278637226,0.167356997178828,0.541076163587241,0.949112811591183,1.19276818584253,22.1474896845455,NA,NA,NA,0,NA,NA,NA,NA,22.1474896845455,221.481169261672,0,132.33680131629,221.481169261672,0,132.33680131629,0.41487587212657,0.176049134541329,0,2.51594399456831,3.10686900123621,0.590925006667899,0.133535038639058,0.190199524483579,"z = 5000 m"
"32","C3",25,5000,1,303.7,209460,800,"yes",-0.0805,0.257,146,0.85,1263.44146428346,"no",0.5,55243.0892759575,908,1.98589034540063,16.7773262131083,11571.2174797421,39.2008678450921,2.36183629650578,0.639276063728612,"no",10.7253430614067,0.167517354372516,0.54136178977261,0.949413053544992,1.19296948573663,22.1629207583466,NA,NA,NA,0,NA,NA,NA,NA,22.1629207583466,221.551232523045,0,132.302237230071,221.551232523045,0,132.302237230071,0.414767513716274,0.176104825851651,0,2.51500917902641,3.10588151859434,0.590872339567925,0.133542606578241,0.190243039224285,"z = 5000 m"
